supu;ika;koulutus;siviilis;tyotilan;omistusa;oma_tulo;kotittul;saasto95;saasto94;asuntol;muulaina;yltyyt;taltyyt;ihmtyyt
2,00;39,00;5,00;2,00;1,00;1,00;5270,00;9668,00;14623,00;31000,00;24776,00;191701,00;2,00;3,00;3,00
1,00;44,00;2,00;2,00;1,00;1,00;3595,00;9879,00;18512,00;41000,00;195434,00;7879,00;2,00;3,00;3,00
2,00;48,00;4,00;2,00;0,00;1,00;3049,00;11033,00;38397,00;43900,00;254114,00;144531,00;1,00;2,00;1,00
1,00;29,00;5,00;1,00;1,00;1,00;7279,00;7890,00;22256,00;25000,00;102845,00;147252,00;1,00;2,00;1,00
1,00;33,00;2,00;3,00;1,00;1,00;5068,00;5808,00;8894,00;22000,00;180249,00;3808,00;3,00;3,00;3,00
1,00;39,00;1,00;2,00;0,00;1,00;4057,00;11954,00;30736,00;42000,00;312535,00;39816,00;2,00;3,00;1,00
1,00;55,00;2,00;2,00;0,00;0,00;3531,00;8186,00;24152,00;37000,00;0,00;6186,00;2,00;3,00;2,00
2,00;24,00;3,00;2,00;0,00;1,00;3255,00;8078,00;5588,00;12000,00;125431,00;54709,00;3,00;4,00;3,00
1,00;29,00;4,00;1,00;0,00;1,00;5785,00;6125,00;19035,00;34000,00;278450,00;66003,00;2,00;3,00;2,00
1,00;33,00;5,00;2,00;1,00;1,00;9740,00;17672,00;26579,00;20000,00;53781,00;391806,00;1,00;2,00;1,00
1,00;39,00;3,00;1,00;1,00;1,00;4519,00;4977,00;31871,00;34000,00;20267,00;26796,00;2,00;2,00;2,00
2,00;49,00;2,00;1,00;0,00;1,00;1891,00;2568,00;48967,00;75000,00;265815,00;568,00;4,00;4,00;4,00
2,00;44,00;3,00;1,00;0,00;1,00;3658,00;3708,00;40508,00;60000,00;280030,00;15378,00;4,00;4,00;4,00
2,00;42,00;3,00;1,00;0,00;1,00;3107,00;3535,00;37365,00;45000,00;200000,00;13821,00;3,00;4,00;3,00
2,00;27,00;4,00;1,00;0,00;1,00;5621,00;5917,00;17074,00;36000,00;240607,00;62686,00;3,00;3,00;3,00
